Nombre;Material;Precio;Categoria
SET DE ARETES ETERNO;ZIRCONIA CUBICA;65;Aros
PULSERA PERLA;PLATA 925;45;Pulseras
PULSERA BRISA DORADA;ZIRCONIA CUBICA;60;Pulseras
ARETES LOVE DORADO;ZIRCONIA CUBICA;40;Aros
ARETES LOVE PLATA;ZIRCONIA CUBICA;40;Aros
PULSERA LAZO;ZIRCONIA CUBICA;50;Pulseras
ARETES CORAZON PLATA;ZIRCONIA CUBICA;40;Aros
SET DE ARETES DESIERTO;ZIRCONIA CUBICA;70;Aros
SET DE ARETES FLOR;ZIRCONIA CUBICA;80;Aros
ARETES CORAZON PLATA;ZIRCONIA CUBICA;40;Aros
SET DE ARETES GOLD;ZIRCONIA CUBICA;80;Aros
SET DE ARETES VOLAR;ZIRCONIA CUBICA;50;Aros
SET DE ARETES BEACH;ZIRCONIA CUBICA;75;Aros
SET DE ARETES DESTELLO;ZIRCONIA CUBICA;75;Aros
